F, [2016-09-06T14:00:29.276763 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-09-06T14:00:29.276789 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-09-06T14:00:29.276867 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-09-06T14:00:29.276917 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-09-06T14:00:29.276961 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-09-06T14:00:29.276991 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-09-06T14:00:29.277018 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-09-06T14:00:29.277043 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-09-06T14:00:29.277068 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-09-06T14:00:29.277092 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-09-06T14:00:29.277117 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-09-06T14:00:29.277141 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] puma (3.6.0) lib/puma/configuration.rb:225:in `call'
F, [2016-09-06T14:00:29.277165 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] puma (3.6.0) lib/puma/server.rb:578:in `handle_request'
F, [2016-09-06T14:00:29.277190 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] puma (3.6.0) lib/puma/server.rb:415:in `process_client'
F, [2016-09-06T14:00:29.277215 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] puma (3.6.0) lib/puma/server.rb:275:in `block in run'
F, [2016-09-06T14:00:29.277239 #7110] FATAL -- : [694b81c7-0503-44a8-93f9-941e00cdc5f5] puma (3.6.0) lib/puma/thread_pool.rb:116:in `block in spawn_thread'
